order;label_display;label_en;label_pl;card_image_public_url;target_public_url;target_type;target_content_type;primary_action;secondary_action;button_label_pl;download_label_pl
1;Yarn Oeko-Tex Certificate 2009;Yarn Oeko-Tex Certificate 2009;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/images/yarn-oeko-tex-certificate-2009__2691fd2ecd.jpg;image;image/jpeg;open_new_tab;optional_download;Zobacz certyfikat;Pobierz grafikę
2;Fabric Oeko-Tex Certificate 2014;Fabric Oeko-Tex Certificate 2014;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/fabric-oeko-tex-certificate-2014__55c0c73c33.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
3;Textile Organic Production Certificate;Textile Organic Production Certificate;;/ariteks/certificates/images/organic-certificate__136e87e27f.png;/ariteks/certificates/documents/textile-organic-production-certificate__3b9e606c95.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
4;C02 emission reduction;C02 emission reduction;;/ariteks/certificates/images/c02-emission-reduction__c42b33b849.png;/ariteks/certificates/images/c02-emission-reduction__15e4c8f129.jpg;image;image/jpeg;open_new_tab;optional_download;Zobacz certyfikat;Pobierz grafikę
5;Antimicrobial Products;Antimicrobial Products;;/ariteks/certificates/images/antimicrobial-products__52364c2ce9.jpg;/ariteks/certificates/images/antimicrobial-products__52364c2ce9.jpg;image;image/jpeg;open_new_tab;optional_download;Zobacz certyfikat;Pobierz grafikę
6;ISO 9001 Certificate for Corlu Fabric Treatment Plant 2013;ISO 9001 Certificate for Corlu Fabric Treatment Plant 2013;;/ariteks/certificates/images/iso-9001-certificate__0a2b94eb5d.jpg;/ariteks/certificates/images/iso-9001-certificate-for-corlu-fabric-treatment-plant-2013__642fcfd5d5.jpg;image;image/jpeg;open_new_tab;optional_download;Zobacz certyfikat;Pobierz grafikę
7;Oeko-Tex Certificate 2017;Oeko-Tex Certificate 2017;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2017__2e3d29b2a8.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
8;Oeko-Tex Certificate 2018;Oeko-Tex Certificate 2018;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2018__ab3b435863.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
9;Oeko-Tex Certificate 2019;Oeko-Tex Certificate 2019;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2019__9ca59618fa.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
10;Çevre İzin Belgesi;Çevre İzin Belgesi;;/ariteks/certificates/images/cevre-izin-belgesi__e795e0d446.jpg;/ariteks/certificates/documents/cevre-izin-belgesi__2b307fbc54.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
11;ISO 9001 Certificate;ISO 9001 Certificate;;/ariteks/certificates/images/iso-9001__86072b9a0f.png;/ariteks/certificates/documents/iso-9001-certificate__854810168d.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
12;ISO 14001 Certificate;ISO 14001 Certificate;;/ariteks/certificates/images/iso-14001__b1ac088de9.png;/ariteks/certificates/documents/iso-14001-certificate__adf712dd59.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
13;ISO 18001 Certificate;ISO 18001 Certificate;;/ariteks/certificates/images/iso-18001__22b7527d60.png;/ariteks/certificates/documents/iso-18001-certificate__3627cddaea.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
14;ISO 9001 Certificate;ISO 9001 Certificate;;/ariteks/certificates/images/iso-9001__86072b9a0f.png;/ariteks/certificates/documents/iso-9001-certificate__a64f95d916.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
15;ISO 9001 Certificate 2022;ISO 9001 Certificate 2022;;/ariteks/certificates/images/iso-9001__86072b9a0f.png;/ariteks/certificates/documents/iso-9001-certificate-2022__bbf519a301.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
16;ISO 14001 Certificate 2022;ISO 14001 Certificate 2022;;/ariteks/certificates/images/iso-14001__b1ac088de9.png;/ariteks/certificates/documents/iso-14001-certificate-2022__93d696f1c6.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
17;ISO 45001 Certificate 2022;ISO 45001 Certificate 2022;;/ariteks/certificates/images/iso-18001__fcee21e8fd.png;/ariteks/certificates/documents/iso-45001-certificate-2022__8adfea0f56.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
18;ISO 9001 Certificate 2024;ISO 9001 Certificate 2024;;/ariteks/certificates/images/iso-9001__86072b9a0f.png;/ariteks/certificates/documents/iso-9001-certificate-2024__f18ea7e07b.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
19;ISO 14001 Certificate 2024;ISO 14001 Certificate 2024;;/ariteks/certificates/images/iso-14001__b1ac088de9.png;/ariteks/certificates/documents/iso-14001-certificate-2024__286f3f5b52.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
20;ISO 45001 Certificate 2024;ISO 45001 Certificate 2024;;/ariteks/certificates/images/iso-18001__fcee21e8fd.png;/ariteks/certificates/documents/iso-45001-certificate-2024__176462b6d0.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
21;Recycled Claim Standard;Recycled Claim Standard;;/ariteks/certificates/images/recycled-claim__b49b450a0c.png;/ariteks/certificates/documents/recycled-claim-standard__5de76c422c.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
22;Organic Content Standard;Organic Content Standard;;/ariteks/certificates/images/organic-content__af9dc0bcea.png;/ariteks/certificates/documents/organic-content-standard__141077767f.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
23;Recycled Claim Standard 2021;Recycled Claim Standard 2021;;/ariteks/certificates/images/recycled-claim__b49b450a0c.png;/ariteks/certificates/documents/recycled-claim-standard-2021__cff9963559.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
24;Organic Content Standard 2021;Organic Content Standard 2021;;/ariteks/certificates/images/organic-content__af9dc0bcea.png;/ariteks/certificates/documents/organic-content-standard-2021__e2de670357.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
25;Recycled Claim Standard 2022;Recycled Claim Standard 2022;;/ariteks/certificates/images/recycled-claim__b49b450a0c.png;/ariteks/certificates/documents/recycled-claim-standard-2022__d3435150a2.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
26;Organic Content Standard 2022;Organic Content Standard 2022;;/ariteks/certificates/images/organic-content__af9dc0bcea.png;/ariteks/certificates/documents/organic-content-standard-2022__5bb288ec63.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
27;Recycled Claim Standard 2024;Recycled Claim Standard 2024;;/ariteks/certificates/images/recycled-claim__b49b450a0c.png;/ariteks/certificates/documents/recycled-claim-standard-2024__871acf5601.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
28;Organic Content Standard 2024;Organic Content Standard 2024;;/ariteks/certificates/images/organic-content__af9dc0bcea.png;/ariteks/certificates/documents/recycled-claim-standard-2024__871acf5601.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
29;Recycled Claim Standard 2025;Recycled Claim Standard 2025;;/ariteks/certificates/images/recycled-claim__b49b450a0c.png;/ariteks/certificates/documents/recycled-claim-standard-2025__99279bb9fc.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
30;Organic Content Standard 2025;Organic Content Standard 2025;;/ariteks/certificates/images/organic-content__af9dc0bcea.png;/ariteks/certificates/documents/recycled-claim-standard-2025__99279bb9fc.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
31;Oeko-Tex Certificate 2020;Oeko-Tex Certificate 2020;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2020__b792142038.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
32;BCI Sytem No:1012459-1;BCI Sytem No:1012459-1;;/ariteks/certificates/images/bci-better-cotton-initiative__4009e5f2f4.jpg;/ariteks/certificates/images/bci-better-cotton-initiative__4009e5f2f4.jpg;image;image/jpeg;open_new_tab;optional_download;Zobacz certyfikat;Pobierz grafikę
33;Oeko-Tex Certificate 2021 Cotton, Viscose, Elastane;Oeko-Tex Certificate 2021 Cotton, Viscose, Elastane;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2021-cotton-viscose-elastane__65e1f11f18.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
34;Oeko-Tex Certificate 2021 Polyester, Elastane;Oeko-Tex Certificate 2021 Polyester, Elastane;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2021-polyester-elastane__8f3149c069.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
35;Oeko-Tex Certificate 2022 Cotton, Viscose, Elastane;Oeko-Tex Certificate 2022 Cotton, Viscose, Elastane;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2022-cotton-viscose-elastane__a817d1b710.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
36;Oeko-Tex Certificate 2023 Cotton, Viscose, Polyester;Oeko-Tex Certificate 2023 Cotton, Viscose, Polyester;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2023-cotton-viscose-polyester__5ab10b57eb.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
37;Oeko-Tex Certificate 2024 Cotton, Viscose, Polyester;Oeko-Tex Certificate 2024 Cotton, Viscose, Polyester;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2024-cotton-viscose-polyester__a22be4203f.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
38;Oeko-Tex Certificate 2025 Cotton, Viscose, Polyester;Oeko-Tex Certificate 2025 Cotton, Viscose, Polyester;;/ariteks/certificates/images/oekotex-100__cf2640970f.png;/ariteks/certificates/documents/oeko-tex-certificate-2025-cotton-viscose-polyester__9b13439013.pdf;document;application/pdf;open_new_tab;download;Otwórz certyfikat;Pobierz PDF
