status;error;name;slug;product_url;category_url;group;category_weight;category_composition;category_weave;title_descriptor;spec_line;description_count;technical_parameters_count;technical_documents_count;data_sheets_count;certificates_count;colors_count;hero_images_count;application_images_count;fabric_photos_count;function_icons_count;care_instructions_count;technology_partners;category_function_icons;product_function_icons;certificate_badges;group_documents;data_sheets;certificates;hero_images;manifest_public_url;report_public_url;public_product_dir;source_collection;source_category_url
ok;;ArNeo;arneo;https://www.ariteks.net/arneo.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;150 g/m²;100% PES;Warp Knit Plain;Durable, High Visible, Safety Jacket Fabric;150 g/m², 100% Polyester, High Visible Knit Fabric;4;17;3;1;2;4;1;3;1;2;5;;EN 20471;Oeko Tex Standard 100 | EN 20471;EN 20471 Certificate;/ariteks/fabrics/arneo/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo/documents/arneo-ds__8255738fb7.pdf;/ariteks/fabrics/arneo/documents/en471__034c8cc4cd.pdf | /ariteks/fabrics/arneo/documents/141120184-test-report__67d4f7503f.pdf;/ariteks/fabrics/arneo/images/arneo-main-pic-m__c5a4de03cd.jpg;/ariteks/fabrics/arneo/data/fabric-complete-record.json;/ariteks/fabrics/arneo/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Pro;arneo-pro;https://www.ariteks.net/arneo-pro.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;150 g/m²;100% PES;Warp Knit Plain;Flame Retardant, High Visible, Safety Jacket Fabric;150 g/m², 100% Polyester, High Visible, Flame Retardant Knit Fabric;6;17;4;1;3;3;1;3;1;3;5;pyrovatex;EN 20471 | EN 14116;Oeko Tex Standard 100 | EN 20471 | EN 14116;EN 20471 Certificate;/ariteks/fabrics/arneo-pro/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-pro/documents/arneo-pro-ds__47e1f1a417.pdf;/ariteks/fabrics/arneo-pro/documents/en471__034c8cc4cd.pdf | /ariteks/fabrics/arneo-pro/documents/en14116-org__3fd0dfc817.pdf | /ariteks/fabrics/arneo-pro/documents/141120184-test-report__67d4f7503f.pdf;/ariteks/fabrics/arneo-pro/images/arneo-pro-main-pic-m__3f83634b23.jpg;/ariteks/fabrics/arneo-pro/data/fabric-complete-record.json;/ariteks/fabrics/arneo-pro/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-pro;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Flame + Static Pro;arneo-flame-static-pro;https://www.ariteks.net/arneo-flame-static-pro.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;150 g/m²;99% PES 1%CF;Warp Knit Plain;Flame Retardant, Antistatic, High Visible, Safety Jacket Fabric;150 g/m², 99% Polyester 1% Carbon, High Visible, Flame Retardant;7;18;4;1;3;2;1;1;1;4;5;pyrovatex;EN 20471 | EN 14116 | EN 1149;Oeko Tex Standard 100 | EN 20471 | EN 14116 | EN 1149-5;EN 20471 Certificate;/ariteks/fabrics/arneo-flame-static-pro/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-flame-static-pro/documents/arneo-flame-static-pro-ds__09a9f437f8.pdf;/ariteks/fabrics/arneo-flame-static-pro/documents/en471__034c8cc4cd.pdf | /ariteks/fabrics/arneo-flame-static-pro/documents/en14116-org__3fd0dfc817.pdf | /ariteks/fabrics/arneo-flame-static-pro/documents/141120184-test-report__67d4f7503f.pdf;/ariteks/fabrics/arneo-flame-static-pro/images/arneo-flame-static-pro-main-pic-m__50196a087e.jpg;/ariteks/fabrics/arneo-flame-static-pro/data/fabric-complete-record.json;/ariteks/fabrics/arneo-flame-static-pro/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-flame-static-pro;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Eco +R400;arneo-eco-r400;https://www.ariteks.net/arneo-eco-r400.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;120 g/m²;100% PES;Warp Knit Plain;High Visible Fabric Laminated with Reflective Strips for Safety Jacket Fabric;120 g/m², 100% Polyester, High Visible, Reflective Strips Laminated Knit Fabric;7;17;3;1;2;3;1;3;0;2;5;;EN 20471;Oeko Tex Standard 100 | EN 20471;EN 20471 Certificate;/ariteks/fabrics/arneo-eco-r400/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-eco-r400/documents/arneo-eco-r400-ds__7a967a2e51.pdf;/ariteks/fabrics/arneo-eco-r400/documents/en471__034c8cc4cd.pdf | /ariteks/fabrics/arneo-eco-r400/documents/141120184-test-report__67d4f7503f.pdf;/ariteks/fabrics/arneo-eco-r400/images/arneo-eco-r400-main-pic-m__c42dd965cd.jpg;/ariteks/fabrics/arneo-eco-r400/data/fabric-complete-record.json;/ariteks/fabrics/arneo-eco-r400/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-eco-r400;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Color;arneo-color;https://www.ariteks.net/arneo-color.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;120 g/m²;100% PES;Warp Knit Plain;Fabric for Safety Jackets Non Neon Colors;120 g/m², 100% Polyester, Warp Knit Fabric;3;16;17;1;16;22;1;3;0;1;5;;EN 20471;Oeko Tex Standard 100;ISO 105 B02;/ariteks/fabrics/arneo-color/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-color/documents/arneo-color-ds__9d21fef2d1.pdf;/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-b02__ceaa49847f.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-b02__3a689f384c.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-c06__1e49e1c600.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-c06__270cc6a3aa.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-d01__c8783185a6.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-d01__7acec5db33.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-e04__494e6ee7b9.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-e04__92950ca028.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-x11__40acd774a1.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-x11__6adf6934cd.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-x12__f3aa3caed5.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-x12__5fb9f6887a.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-13938-1__6e7eb5fc50.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-13938-1__7bee247db7.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-navy-ts-en-iso-6330__0a60284824.pdf | /ariteks/fabrics/arneo-color/documents/arneo-color-royal-ts-en-iso-6330__b9c425e39a.pdf;/ariteks/fabrics/arneo-color/images/arneo-color-main-pic-m__591fe6a119.jpg;/ariteks/fabrics/arneo-color/data/fabric-complete-record.json;/ariteks/fabrics/arneo-color/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-color;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo File;arneo-file;https://www.ariteks.net/arneo-file.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;120 g/m²;100% PES;Mesh;High Visible Mesh Fabric for Safety Jacket;120 g/m², 100% Polyester, High Visible, Mesh Knit Fabric;4;17;3;1;2;4;1;1;0;2;5;;EN 20471;Oeko Tex Standard 100 | EN 20471;EN 20471 Certificate;/ariteks/fabrics/arneo-file/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-file/documents/arneo-file-ds__6d5cd25a13.pdf;/ariteks/fabrics/arneo-file/documents/en471__034c8cc4cd.pdf | /ariteks/fabrics/arneo-file/documents/141120184-test-report__67d4f7503f.pdf;/ariteks/fabrics/arneo-file/images/arneo-file-main-pic-m__a53e82a8e2.jpg;/ariteks/fabrics/arneo-file/data/fabric-complete-record.json;/ariteks/fabrics/arneo-file/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-file;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Color File;arneo-color-file;https://www.ariteks.net/arneo-color-file.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;120 g/m²;100% PES;5*1 Mesh;Mesh Fabric for Safety Jackets Non Neon Colors;120 g/m², 100% Polyester, Mesh Knit Fabric;3;16;11;1;10;22;1;3;0;1;5;;;Oeko Tex Standard 100;astme 2149;/ariteks/fabrics/arneo-color-file/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-ds__32534d6c99.pdf;/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-astme-2149__3326b36acd.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-astme-2149-30-wash__90d74a7b52.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-105-c06__af5b4f594e.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-105-e04__d6919e5138.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-105-x12__f55e006100.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-1833__e6c3d270bd.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-6330__9ed5e8613b.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-16373-2__1f26ef3af3.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-knitting-type__e70ff00eae.pdf | /ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-ts-251-metot-6__803e2bcd27.pdf;/ariteks/fabrics/arneo-color-file/images/arneo-color-file-main-pic-m__00f49f78e8.jpg;/ariteks/fabrics/arneo-color-file/data/fabric-complete-record.json;/ariteks/fabrics/arneo-color-file/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-color-file;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Dirt Pro;arneo-dirt-pro;https://www.ariteks.net/arneo-dirt-pro.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;150 g/m²;100% PES;Warp Knit Plain;Water and Oil Repellent High Visible Warp Knit Fabric;150 g/m², 100% Polyester (PES), Water and Oil Repellent High Visible Warp Knit Fabric;5;18;4;1;3;3;1;3;0;3;5;;EN 20471 | EN 4920;Oeko Tex Standard 100 | EN 20471 | EN 4920;EN 20471 Certificate;/ariteks/fabrics/arneo-dirt-pro/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-dirt-pro/documents/arneo-dirt-pro-ds__5f243c771d.pdf;/ariteks/fabrics/arneo-dirt-pro/documents/en471__034c8cc4cd.pdf | /ariteks/fabrics/arneo-dirt-pro/documents/141120184-test-report__67d4f7503f.pdf | /ariteks/fabrics/arneo-dirt-pro/documents/arneo-dirt-pro-ts-en-iso-14419__ebb81f14ab.pdf;/ariteks/fabrics/arneo-dirt-pro/images/arneo-dirt-pro-main-pic-m__5add6eb7bb.jpg;/ariteks/fabrics/arneo-dirt-pro/data/fabric-complete-record.json;/ariteks/fabrics/arneo-dirt-pro/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-dirt-pro;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Super Eco;arneo-supereco;https://www.ariteks.net/arneo-supereco.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;75 g/m²;100% PES;Warp Knit Plain;Economical Safety Jacket Fabric;75 g/m², 100% Polyester, High Visible Knit Fabric;3;16;1;1;0;4;1;2;0;1;5;;EN 20471 | EN 4920;Oeko Tex Standard 100;;/ariteks/fabrics/arneo-supereco/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-supereco/documents/arneo-supereco-ds__bd6f5d6b47.pdf;;/ariteks/fabrics/arneo-supereco/images/arneo-super-eco-main-pic-m__5d57544ed9.jpg;/ariteks/fabrics/arneo-supereco/data/fabric-complete-record.json;/ariteks/fabrics/arneo-supereco/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-supereco;protection;https://www.ariteks.net/protection-technical-textiles.asp
ok;;ArNeo Super Eco +R50;arneo-supereco-r50;https://www.ariteks.net/arneo-supereco-r50.asp;https://www.ariteks.net/protection-technical-textiles.asp;High Visible Warp Knit Fabrics for Safety Jackets;75 g/m²;100% PES;Warp Knit Plain;Economical Safety Jacket Fabric Laminated with Brillant Strips;75 g/m², 100% Polyester, Brillant Strips Laminated, High Visible Knit Fabric;4;16;1;1;0;2;1;2;0;1;5;;;Oeko Tex Standard 100;;/ariteks/fabrics/arneo-supereco-r50/documents/arneo-ru-ds-ver2__c1069fddab.pdf;/ariteks/fabrics/arneo-supereco-r50/documents/arneo-supereco-r50-ds__bdd6490717.pdf;;/ariteks/fabrics/arneo-supereco-r50/images/arneo-super-eco-r50-main-pic-m__a54b1b7f8c.jpg;/ariteks/fabrics/arneo-supereco-r50/data/fabric-complete-record.json;/ariteks/fabrics/arneo-supereco-r50/docs/product-template-roadmap.md;C:\Projekty\galia-navi\public\ariteks\fabrics\arneo-supereco-r50;protection;https://www.ariteks.net/protection-technical-textiles.asp
