slug,name,family,family_slug,category_id,category_name_pl,category_name_en,weight,weight_gsm,composition,weave,weave_type,fibers,properties,norms,descriptor_pl,descriptor_en,specification_pl,specification_en,description_pl,primary_application_id,primary_application_pl,primary_application_en,primary_application_confidence,secondary_application_id,secondary_application_pl,secondary_application_en,secondary_application_confidence,hero_image_url,product_url_pl,product_url_en,family_url_pl,family_url_en,data_sheet_urls,certificate_urls,source_record_url,colors_count,parameters_count
arneo,ArNeo,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,150 g/m²,150,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis,EN ISO 20471|OEKO-TEX 100,Trwała tkanina ostrzegawcza hi-vis do kamizelek ostrzegawczych,"Durable, High Visible, Safety Jacket Fabric","150 g/m², 100% Polyester, dzianina kolumienkowa hi-vis","150 g/m², 100% Polyester, High Visible Knit Fabric","ArNeo to tkanina dziana kolumienkowa 100% Polyester o gramaturze 150 g/m², barwiona w kolorach neonowych, przeznaczona do kamizelek ostrzegawczych. Jest to produkt najwyższej klasy – o zwiększonej gramaturze i wysokiej liczbie filamentów – dostosowany do wszelkich rodzajów kamizelek ostrzegawczych. || Tkanina posiada certyfikat EN ISO 20471. || Tkaniny barwione w kolorach neonowych przyciągają uwagę skuteczniej niż materiały w pozostałych barwach. Pochłaniają promieniowanie UV i reemitują je w postaci widzialnego światła. || Dzięki temu wyróżniają się jasnością na tle otoczenia.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo/images/arneo-main-pic-m__c5a4de03cd.jpg,https://ariteks.pl/fabrics/arneo/arneo,https://ariteks.pl/en/fabrics/arneo/arneo,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo/documents/arneo-ds__8255738fb7.pdf,https://ariteks.pl/ariteks/fabrics/arneo/documents/en471__034c8cc4cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo/documents/141120184-test-report__67d4f7503f.pdf,https://ariteks.pl/ariteks/fabrics/arneo/data/fabric-complete-record.json,4,17
arneo-pro,ArNeo Pro,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,150 g/m²,150,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis|fr,EN ISO 20471|EN ISO 14116|OEKO-TEX 100,"Tkanina Trudnopalna, Ostrzegawcza Hi-Vis do Kamizelek Ostrzegawczych","Flame Retardant, High Visible, Safety Jacket Fabric","150 g/m², 100% Polyester, Dzianina Kolumnkowa Ostrzegawcza Hi-Vis, Trudnopalna","150 g/m², 100% Polyester, High Visible, Flame Retardant Knit Fabric","ArNeo Pro to trudnopalna tkanina w kolorach neonowych, wykonana w 100% z poliestru, o gramaturze 150 g/m², produkowana w splocie dzianiny kolumnkowej, przeznaczona do kamizelek ostrzegawczych. || Stosowana przede wszystkim przez pracowników obsługi płyty lotniska. || Certyfikowana zgodnie z EN ISO 20471. || Tkaniny barwione w kolorach neonowych przyciągają uwagę skuteczniej niż inne kolory – absorbują promieniowanie UV i re-emitują je w postaci światła widzialnego. || Dzięki temu wyróżniają się jasnością na tle innych obiektów. || Posiadają certyfikat trudnopalności. (TS EN ISO 14116) (odporność na 10 cykli prania)",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-pro/images/arneo-pro-main-pic-m__3f83634b23.jpg,https://ariteks.pl/fabrics/arneo/arneo-pro,https://ariteks.pl/en/fabrics/arneo/arneo-pro,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-pro/documents/arneo-pro-ds__47e1f1a417.pdf,https://ariteks.pl/ariteks/fabrics/arneo-pro/documents/en471__034c8cc4cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-pro/documents/en14116-org__3fd0dfc817.pdf|https://ariteks.pl/ariteks/fabrics/arneo-pro/documents/141120184-test-report__67d4f7503f.pdf,https://ariteks.pl/ariteks/fabrics/arneo-pro/data/fabric-complete-record.json,3,17
arneo-flame-static-pro,ArNeo Flame + Static Pro,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,150 g/m²,150,99% PES 1%CF,Warp Knit Plain,warp-knit,pes|cf,hi-vis|fr|antistatic,EN ISO 20471|EN ISO 14116|EN 1149|OEKO-TEX 100,"Tkanina trudnopalna, antystatyczna, ostrzegawcza hi-vis do kamizelek ostrzegawczych","Flame Retardant, Antistatic, High Visible, Safety Jacket Fabric","150 g/m², 99% Polyester 1% Carbon, ostrzegawcza hi-vis, trudnopalna","150 g/m², 99% Polyester 1% Carbon, High Visible, Flame Retardant","Antystatyczna dzianina kolumienkowa ArNeo Pro to trudnopalna, antystatyczna tkanina w kolorach neonowych do kamizelek ostrzegawczych, wykonana w 150 g/m² z surowca 99% PES i 1% Carbon. || Stosowana przede wszystkim przez pracowników płyty lotniska, a także w przemyśle naftowym i gazowym. || Certyfikowana zgodnie z EN ISO 20471. || Tkaniny barwione w kolorach neonowych przyciągają uwagę skuteczniej niż inne kolory – pochłaniają promieniowanie UV i emitują je jako światło widzialne. || Dzięki temu wyróżniają się jasnością na tle otoczenia. || Certyfikat antystatyczności. (EN ISO 1149) (antystatyczność inherentna) || Certyfikat trudnopalności. (TS EN ISO 14116) (odporność na 10 prań)",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,97,,,,,https://ariteks.pl/ariteks/fabrics/arneo-flame-static-pro/images/arneo-flame-static-pro-main-pic-m__50196a087e.jpg,https://ariteks.pl/fabrics/arneo/arneo-flame-static-pro,https://ariteks.pl/en/fabrics/arneo/arneo-flame-static-pro,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-flame-static-pro/documents/arneo-flame-static-pro-ds__09a9f437f8.pdf,https://ariteks.pl/ariteks/fabrics/arneo-flame-static-pro/documents/en471__034c8cc4cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-flame-static-pro/documents/en14116-org__3fd0dfc817.pdf|https://ariteks.pl/ariteks/fabrics/arneo-flame-static-pro/documents/141120184-test-report__67d4f7503f.pdf,https://ariteks.pl/ariteks/fabrics/arneo-flame-static-pro/data/fabric-complete-record.json,2,18
arneo-eco-r400,ArNeo Eco +R400,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,120 g/m²,120,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis,EN ISO 20471|OEKO-TEX 100,Tkanina Ostrzegawcza Hi-Vis Laminowana Odblaskowymi Pasami do Kamizelek Ostrzegawczych,High Visible Fabric Laminated with Reflective Strips for Safety Jacket Fabric,"120 g/m², 100% PES, Ostrzegawcza Hi-Vis, Dzianina Kolumnkowa Laminowana Pasami Odblaskowymi","120 g/m², 100% Polyester, High Visible, Reflective Strips Laminated Knit Fabric","ArNeo Eco +R400 to tkanina dziana kolumnkowa w 100% z PES, o gramaturze 120 g/m², barwiona w kolorach neonowych, przeznaczona do kamizelek ostrzegawczych. || Posiada certyfikat EN ISO 20471. || Tkaniny barwione w kolorach neonowych przyciągają uwagę skuteczniej niż tkaniny w innych kolorach. || Pochłaniają promieniowanie UV i emitują je jako światło widzialne. || W efekcie wyróżniają się jaśniejszym połyskiem w porównaniu z innymi obiektami. || Krawędź tkaniny jest laminowana 5-centymetrowymi pasami odblaskowymi posiadającymi certyfikat EN ISO 20471. || Rozwiązanie to eliminuje konieczność wszywania pasów odblaskowych na etapie konfekcjonowania.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-eco-r400/images/arneo-eco-r400-main-pic-m__c42dd965cd.jpg,https://ariteks.pl/fabrics/arneo/arneo-eco-r400,https://ariteks.pl/en/fabrics/arneo/arneo-eco-r400,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-eco-r400/documents/arneo-eco-r400-ds__7a967a2e51.pdf,https://ariteks.pl/ariteks/fabrics/arneo-eco-r400/documents/en471__034c8cc4cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-eco-r400/documents/141120184-test-report__67d4f7503f.pdf,https://ariteks.pl/ariteks/fabrics/arneo-eco-r400/data/fabric-complete-record.json,3,17
arneo-color,ArNeo Color,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,120 g/m²,120,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis,EN ISO 20471|OEKO-TEX 100,Tkanina do Kamizelek Ostrzegawczych w Kolorach Nieodblaskowych,Fabric for Safety Jackets Non Neon Colors,"120 g/m², 100% Polyester, Dzianina Kolumnkowa","120 g/m², 100% Polyester, Warp Knit Fabric","ArNeo Color to dzianina kolumnkowa 100% Polyester o gramaturze 120 g/m². || Stosowana do kamizelek z odblaskowymi pasami ostrzegawczymi. || Ze względu na nieodblaskową kolorystykę, tkanina znajduje zastosowanie przede wszystkim w odzieży korporacyjnej, a nie w aplikacjach stricte ochronnych.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,95,,,,,https://ariteks.pl/ariteks/fabrics/arneo-color/images/arneo-color-main-pic-m__591fe6a119.jpg,https://ariteks.pl/fabrics/arneo/arneo-color,https://ariteks.pl/en/fabrics/arneo/arneo-color,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-ds__9d21fef2d1.pdf,https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-b02__ceaa49847f.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-b02__3a689f384c.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-c06__1e49e1c600.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-c06__270cc6a3aa.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-d01__c8783185a6.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-d01__7acec5db33.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-e04__494e6ee7b9.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-e04__92950ca028.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-x11__40acd774a1.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-x11__6adf6934cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-105-x12__f3aa3caed5.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-105-x12__5fb9f6887a.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-iso-13938-1__6e7eb5fc50.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-iso-13938-1__7bee247db7.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-navy-ts-en-iso-6330__0a60284824.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color/documents/arneo-color-royal-ts-en-iso-6330__b9c425e39a.pdf,https://ariteks.pl/ariteks/fabrics/arneo-color/data/fabric-complete-record.json,22,16
arneo-file,ArNeo File,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,120 g/m²,120,100% PES,Mesh,mesh,pes,hi-vis,EN ISO 20471|OEKO-TEX 100,Ostrzegawcza tkanina siatkowa do kamizelek ostrzegawczych,High Visible Mesh Fabric for Safety Jacket,"120 g/m², 100% Polyester, ostrzegawcza, dzianina kolumnkowa siatkowa","120 g/m², 100% Polyester, High Visible, Mesh Knit Fabric","ArNeo File to teksturowana dzianina kolumnkowa siatkowa 100% PES, 120 g/m², w kolorach neonowych, przeznaczona do kamizelek ostrzegawczych. Jest to najpopularniejsza tkanina siatkowa stosowana w tego typu odzieży. || ArNeo File posiada certyfikat EN ISO 20471. || Tkaniny barwione w kolorach neonowych przyciągają uwagę skuteczniej niż tkaniny w pozostałych kolorach. Pochłaniają promieniowanie UV i emitują je w postaci światła widzialnego. || Dzięki temu wyróżniają się jasnością na tle otoczenia.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-file/images/arneo-file-main-pic-m__a53e82a8e2.jpg,https://ariteks.pl/fabrics/arneo/arneo-file,https://ariteks.pl/en/fabrics/arneo/arneo-file,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-file/documents/arneo-file-ds__6d5cd25a13.pdf,https://ariteks.pl/ariteks/fabrics/arneo-file/documents/en471__034c8cc4cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-file/documents/141120184-test-report__67d4f7503f.pdf,https://ariteks.pl/ariteks/fabrics/arneo-file/data/fabric-complete-record.json,4,17
arneo-color-file,ArNeo Color File,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,120 g/m²,120,100% PES,5*1 Mesh,mesh,pes,hi-vis,OEKO-TEX 100,Tkanina siatkowa do kamizelek ostrzegawczych w kolorach innych niż neonowe,Mesh Fabric for Safety Jackets Non Neon Colors,"120 g/m², 100% Polyester, tkanina siatkowa z dzianiny kolumnkowej","120 g/m², 100% Polyester, Mesh Knit Fabric","ArNeo Color File to tkanina siatkowa z dzianiny kolumnkowej, 100% PES, o gramaturze 120 g/m². || Stosowana do kamizelek z pasami odblaskowymi. || Struktura siatkowa sprawdza się szczególnie w warunkach pracy w gorącym klimacie.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-color-file/images/arneo-color-file-main-pic-m__00f49f78e8.jpg,https://ariteks.pl/fabrics/arneo/arneo-color-file,https://ariteks.pl/en/fabrics/arneo/arneo-color-file,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-ds__32534d6c99.pdf,https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-astme-2149__3326b36acd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-astme-2149-30-wash__90d74a7b52.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-105-c06__af5b4f594e.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-105-e04__d6919e5138.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-105-x12__f55e006100.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-1833__e6c3d270bd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-6330__9ed5e8613b.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-iso-16373-2__1f26ef3af3.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-knitting-type__e70ff00eae.pdf|https://ariteks.pl/ariteks/fabrics/arneo-color-file/documents/arneo-color-file-4079-ts-251-metot-6__803e2bcd27.pdf,https://ariteks.pl/ariteks/fabrics/arneo-color-file/data/fabric-complete-record.json,22,16
arneo-dirt-pro,ArNeo Dirt Pro,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,150 g/m²,150,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis,EN ISO 20471|OEKO-TEX 100,Wodoodporna i Olejoodporna Tkanina Ostrzegawcza Hi-Vis – Dzianina Kolumienkowa,Water and Oil Repellent High Visible Warp Knit Fabric,"150 g/m², 100% Polyester (PES), wodoodporna i olejoodporna tkanina ostrzegawcza hi-vis – dzianina kolumienkowa","150 g/m², 100% Polyester (PES), Water and Oil Repellent High Visible Warp Knit Fabric","ArNeo Dirt Pro to dzianina kolumienkowa w kolorach neonowych, wykonana w 100% z PES, o gramaturze 150 g/m², przeznaczona do kamizelek ostrzegawczych – z dodatkową funkcją wzmocnionej hydrofobowości i olejoodporności. || Certyfikowana zgodnie z EN ISO 20471. || Tkaniny barwione w kolorach neonowych przyciągają uwagę skuteczniej niż inne barwy – pochłaniają promieniowanie UV i re-emitują je jako światło widzialne. || W efekcie wyróżniają się intensywniejszym połyskiem w porównaniu z pozostałymi materiałami. || Funkcja wodoodporności (hydrofobowości) i olejoodporności. (EN ISO 14419)",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-dirt-pro/images/arneo-dirt-pro-main-pic-m__5add6eb7bb.jpg,https://ariteks.pl/fabrics/arneo/arneo-dirt-pro,https://ariteks.pl/en/fabrics/arneo/arneo-dirt-pro,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-dirt-pro/documents/arneo-dirt-pro-ds__5f243c771d.pdf,https://ariteks.pl/ariteks/fabrics/arneo-dirt-pro/documents/en471__034c8cc4cd.pdf|https://ariteks.pl/ariteks/fabrics/arneo-dirt-pro/documents/141120184-test-report__67d4f7503f.pdf|https://ariteks.pl/ariteks/fabrics/arneo-dirt-pro/documents/arneo-dirt-pro-ts-en-iso-14419__ebb81f14ab.pdf,https://ariteks.pl/ariteks/fabrics/arneo-dirt-pro/data/fabric-complete-record.json,3,18
arneo-supereco,ArNeo Super Eco,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,75 g/m²,75,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis,EN ISO 20471|OEKO-TEX 100,Ekonomiczna Tkanina na Kamizelki Ostrzegawcze,Economical Safety Jacket Fabric,"75 g/m², 100% Polyester, Dzianina Kolumnkowa Hi-Vis","75 g/m², 100% Polyester, High Visible Knit Fabric","ArNeo Super Eco to dzianina kolumnkowa ostrzegawcza w neonowych kolorach, wykonana w 100% z poliestru, o gramaturze 70–80 g/m². || Nadaje się do druku cyfrowego, co umożliwia wykonanie kamizelek z logo firmy metodą druku sublimacyjnego. || Przeznaczona dla pracowników branży budowlanej i górniczej.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-supereco/images/arneo-super-eco-main-pic-m__5d57544ed9.jpg,https://ariteks.pl/fabrics/arneo/arneo-supereco,https://ariteks.pl/en/fabrics/arneo/arneo-supereco,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-supereco/documents/arneo-supereco-ds__bd6f5d6b47.pdf,,https://ariteks.pl/ariteks/fabrics/arneo-supereco/data/fabric-complete-record.json,4,16
arneo-supereco-r50,ArNeo Super Eco +R50,ArNeo,arneo,hi-vis,Dzianiny ostrzegawcze hi-vis,Hi-vis warp knit fabrics,75 g/m²,75,100% PES,Warp Knit Plain,warp-knit,pes,hi-vis,OEKO-TEX 100,Ekonomiczna tkanina na kamizelki ostrzegawcze laminowana odblaskowymi pasami,Economical Safety Jacket Fabric Laminated with Brillant Strips,"75 g/m², 100% Polyester, laminowana odblaskowymi pasami, ostrzegawcza dzianina kolumienkowa hi-vis","75 g/m², 100% Polyester, Brillant Strips Laminated, High Visible Knit Fabric","ArNeo Super Eco +R50 – ostrzegawcza dzianina kolumienkowa hi-vis w kolorach neonowych, 100% PES, gramatura 70–80 g/m². || Materiał przystosowany do nadruku cyfrowego, co umożliwia wykonanie nadruków firmowego logo metodą sublimacji. || Przeznaczony dla pracowników branży budowlanej i górniczej. || Brzeg tkaniny laminowany jest odblaskowymi pasami o szerokości 5 cm.",hivis,Odzież ostrzegawcza hi-vis,High-visibility apparel,98,,,,,https://ariteks.pl/ariteks/fabrics/arneo-supereco-r50/images/arneo-super-eco-r50-main-pic-m__a54b1b7f8c.jpg,https://ariteks.pl/fabrics/arneo/arneo-supereco-r50,https://ariteks.pl/en/fabrics/arneo/arneo-supereco-r50,https://ariteks.pl/fabrics/arneo,https://ariteks.pl/en/fabrics/arneo,https://ariteks.pl/ariteks/fabrics/arneo-supereco-r50/documents/arneo-supereco-r50-ds__bdd6490717.pdf,,https://ariteks.pl/ariteks/fabrics/arneo-supereco-r50/data/fabric-complete-record.json,2,16
