"slug";"name";"family";"subFamily";"categoryId";"acceptedApplications";"possibleApplications";"reviewReasons";"explicitUseSummary";"titleDescriptor";"specLine";"categorySourceGroup";"recordLoaded";"recordUrl"
"arneo-pro";"ArNeo Pro";"ArNeo";"arneo";"hi-vis";"hivis";"transport";"transport: Description mentions aeroport apron workers, but this is an occupational context, not explicit vehicle/vessel transport application.";"";"Flame Retardant, High Visible, Safety Jacket Fabric";"150 g/m², 100% Polyester, High Visible, Flame Retardant Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arneo-pro/data/fabric-complete-record.json"
"arneo-flame-static-pro";"ArNeo Flame + Static Pro";"ArNeo";"arneo";"hi-vis";"hivis";"energy | transport";"energy: Used by oil and gas industry workers and antistatic per EN 1149, but no explicit electrical-utility, arc-protection or high-voltage application stated. || transport: Mentioned use by airport apron workers, but this is an occupational context, not an explicit vehicle/vessel transport application.";"";"Flame Retardant, Antistatic, High Visible, Safety Jacket Fabric";"150 g/m², 99% Polyester 1% Carbon, High Visible, Flame Retardant";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arneo-flame-static-pro/data/fabric-complete-record.json"
"arneo-light";"ArNeo Light";"ArNeo";"arneo";"hi-vis";"hivis";"military";"military: No explicit military, police or uniformed-service reference; construction/mining workwear mentioned instead.";"";"Economical Safety Jacket Fabric";"70 g/m², 100% Polyester, High Visible Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arneo-light/data/fabric-complete-record.json"
"arneo-light-r50";"ArNeo Light + R50";"ArNeo";"arneo";"hi-vis";"hivis";"energy";"energy: Mining/construction context could relate to energy or utility work sites, but no explicit electrical/energy sector use is stated.";"";"Economical Safety Jacket Fabric Laminated with Brillant Strips";"70 g/m², 100% Polyester, Brillant Strips Laminated, High Visible Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arneo-light-r50/data/fabric-complete-record.json"
"arneo-light-r400";"ArNeo Light +R400";"ArNeo";"arneo";"hi-vis";"hivis";"transport";"transport: Construction/mining workwear mentioned, not explicitly vehicle or vessel related; no direct transport-sector statement.";"";"Economical Safety Jacket Fabric Laminated with Reflective Strips";"70 g/m², 100% Polyester, Reflective Strips Laminated, High Visible Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arneo-light-r400/data/fabric-complete-record.json"
"arshirt";"ArShirt";"ArShirt";"arshirt-arsuprem";"hi-vis";"hivis";"military";"military: Description states the fabric 'can be used in the most hard working conditions and in military and workwear area', but this is a generic boilerplate statement without specific tactical, uniform, or service-specific application detail.";"";"100% Cotton Vat Dyed Pique Fabric";"220 g/m², 100% Cotton (CO), Pique";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arshirt/data/fabric-complete-record.json"
"arshirt-static-pro";"ArShirt Static Pro";"ArShirt";"arwowear-static-pro";"hi-vis";"";"energy | hivis | military | welding";"energy: Application image label 'Antisatic T-Shirt for Gas Stations' suggests a fuel/energy-adjacent use, but this is not the explicit electrical/energy sector defined in the taxonomy (electric-arc, high-voltage, EMI shielding), so it is insufficient for a direct match. || hivis: The product is explicitly categorized under the hi-vis warp knit fabric category intended for safety jackets, and lists 'hi-vis' as a core property, directly supporting a high-visibility apparel application. || military: The product description explicitly states usability in the military area, providing direct though brief evidence for military application. || welding: Antistatic cotton/carbon blend could theoretically be used in metalworking environments, but no explicit welding, foundry, or metallurgy use is stated.";"";"97% Cotton 3% Carbon Antisatic, Vat Dyed Pique Fabric";"220 g/m², 97% Cotton 3% Carbon, Antistatic,Pique, Vat Dyed Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arshirt-static-pro/data/fabric-complete-record.json"
"arshirt-moda-pro";"ArShirt Moda Pro";"ArShirt";"arwowear-moda-pro-2";"hi-vis";"hivis";"energy | firefighting | military | welding";"energy: Description explicitly names electrical workers as intended users, combined with arc-flash and antistatic certifications directly tied to electrical hazard protection. || firefighting: Description explicitly names firefighters as intended users, though this is turnout-gear-adjacent workwear rather than explicit structural firefighting gear. || military: No explicit military, police or tactical use stated in the product data. || welding: Description explicitly states welders as primary users, supported by arc-flash protection certification relevant to welding hazards.";"";"60% Modacrylic 38% Cotton 2% Carbon, Inherent Pique Flame Retardant Antistatic Fabric";"220 g/m², 60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arshirt-moda-pro/data/fabric-complete-record.json"
"arsuprem";"ArSuprem";"ArSuprem";"arshirt-arsuprem";"hi-vis";"";"hivis | military | sport";"hivis: Product is explicitly categorized under the hi-vis warp knit fabric group intended for safety jackets, directly supporting the high-visibility application. || military: The product description explicitly states use in the military area, providing direct textual evidence for military application, though the statement is brief and not detailed with specific military garment context. || sport: UV protection and jersey knit could suit sportswear, but no explicit sport or athletic use is stated.";"";"100% Cotton Vat Dyed Single Jersey Fabric";"220 g/m², 100% Cotton, Single Jersey, Vat Dyed Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arsuprem/data/fabric-complete-record.json"
"arsuprem-static-pro";"ArSuprem Static Pro";"ArSuprem";"arwowear-static-pro";"hi-vis";"";"energy | hivis | medical | military";"energy: Fabric is antistatic (EN 1149, EN 61340) and ESD-certified, which are properties often relevant to electrical environments, but no explicit statement ties it to the energy sector or high-voltage work. || hivis: Product is explicitly categorized under the hi-vis category and source group for safety jackets, and lists hi-vis as a property, despite being a jersey knit rather than warp knit. || medical: Antibacterial/antistatic finishes could theoretically support hospital-adjacent uses, but no medical or healthcare application is explicitly stated. || military: Explicit textual statement identifies suitability for military-area use, providing direct though brief evidence.";"";"97% Cotton 3% Carbon Antistatic, Vat Dyed Single Jersey Fabric";"220 g/m², 97% Cotton 3% Carbon, Single Jersey, Antistatic, Vat Dyed Knit Fabric";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arsuprem-static-pro/data/fabric-complete-record.json"
